lcl|ORF3_c_000000030846:10:669	ddf12b3ad5006ebd2b909034a9feb5a8	219	Gene3D	G3DSA:3.80.30.20	tm_1862 like domain	2	146	2.0E-10	T	01-10-2020	IPR023404	Radical SAM, alpha/beta horseshoe		
lcl|ORF3_c_000000030846:10:669	ddf12b3ad5006ebd2b909034a9feb5a8	219	SUPERFAMILY	SSF102114	Radical SAM enzymes	4	141	9.42E-16	T	01-10-2020
lcl|ORF1_c_000000026952:572:0	952f2002ce82c5bffed39d2791a60db3	191	Gene3D	G3DSA:2.40.10.350	-	126	187	5.7E-32	T	01-10-2020	IPR042175	Cell/Rod shape-determining protein MreC, domain 2		
lcl|ORF1_c_000000026952:572:0	952f2002ce82c5bffed39d2791a60db3	191	Gene3D	G3DSA:2.40.10.340	-	67	125	5.7E-32	T	01-10-2020	IPR042177	Cell/Rod shape-determining protein MreC, domain 1		
lcl|ORF1_c_000000026952:572:0	952f2002ce82c5bffed39d2791a60db3	191	Pfam	PF04085	rod shape-determining protein MreC	69	186	6.0E-31	T	01-10-2020	IPR007221	Rod shape-determining protein MreC	GO:0008360	
lcl|ORF2_c_000000002463:2071:1010	c4b9b95425b04f4210e4a3abe3b2e9f9	353	CDD	cd03344	GroEL	1	331	0.0	T	01-10-2020	IPR001844	Chaperonin Cpn60	GO:0042026	Reactome: R-HSA-1268020|Reactome: R-HSA-8869496
lcl|ORF2_c_000000002463:2071:1010	c4b9b95425b04f4210e4a3abe3b2e9f9	353	Pfam	PF00118	TCP-1/cpn60 chaperonin family	2	332	5.1E-56	T	01-10-2020	IPR002423	Chaperonin Cpn60/TCP-1 family	GO:0005524	
lcl|ORF2_c_000000002463:2071:1010	c4b9b95425b04f4210e4a3abe3b2e9f9	353	ProSitePatterns	PS00296	Chaperonins cpn60 signature.	213	224	-	T	01-10-2020	IPR018370	Chaperonin Cpn60, conserved site	GO:0005524|GO:0006457	Reactome: R-HSA-1268020|Reactome: R-HSA-8869496
lcl|ORF2_c_000000002463:2071:1010	c4b9b95425b04f4210e4a3abe3b2e9f9	353	SUPERFAMILY	SSF52029	GroEL apical domain-like	1	184	4.54E-78	T	01-10-2020	IPR027409	GroEL-like apical domain superfamily		
lcl|ORF2_c_000000002463:2071:1010	c4b9b95425b04f4210e4a3abe3b2e9f9	353	Gene3D	G3DSA:1.10.560.10	GROEL	150	326	1.3E-50	T	01-10-2020	IPR027413	GroEL-like equatorial domain superfamily		
lcl|ORF2_c_000000002463:2071:1010	c4b9b95425b04f4210e4a3abe3b2e9f9	353	PRINTS	PR00298	60kDa chaperonin signature	76	99	5.4E-40	T	01-10-2020	IPR001844	Chaperonin Cpn60	GO:0042026	Reactome: R-HSA-1268020|Reactome: R-HSA-8869496
lcl|ORF2_c_000000002463:2071:1010	c4b9b95425b04f4210e4a3abe3b2e9f9	353	PRINTS	PR00298	60kDa chaperonin signature	158	183	5.4E-40	T	01-10-2020	IPR001844	Chaperonin Cpn60	GO:0042026	Reactome: R-HSA-1268020|Reactome: R-HSA-8869496
lcl|ORF2_c_000000002463:2071:1010	c4b9b95425b04f4210e4a3abe3b2e9f9	353	PRINTS	PR00298	60kDa chaperonin signature	206	227	5.4E-40	T	01-10-2020	IPR001844	Chaperonin Cpn60	GO:0042026	Reactome: R-HSA-1268020|Reactome: R-HSA-8869496
lcl|ORF2_c_000000002463:2071:1010	c4b9b95425b04f4210e4a3abe3b2e9f9	353	Gene3D	G3DSA:3.50.7.10	GroEL	1	144	3.7E-64	T	01-10-2020	IPR027409	GroEL-like apical domain superfamily		
lcl|ORF2_c_000000002463:2071:1010	c4b9b95425b04f4210e4a3abe3b2e9f9	353	SUPERFAMILY	SSF48592	GroEL equatorial domain-like	181	333	1.07E-36	T	01-10-2020	IPR027413	GroEL-like equatorial domain superfamily		
