lcl|ORF11_c_000000013755:2516:1110	89a930c934f50579063048e7d66bbcd3	468	Gene3D	G3DSA:1.25.40.10	-	315	422	1.5E-10	T	30-09-2020	IPR011990	Tetratricopeptide-like helical domain superfamily	GO:0005515	
lcl|ORF11_c_000000013755:2516:1110	89a930c934f50579063048e7d66bbcd3	468	ProSiteProfiles	PS50293	TPR repeat region circular profile.	332	365	10.911	T	30-09-2020	IPR013026	Tetratricopeptide repeat-containing domain	GO:0005515	
lcl|ORF11_c_000000013755:2516:1110	89a930c934f50579063048e7d66bbcd3	468	ProSiteProfiles	PS50005	TPR repeat profile.	332	365	10.443	T	30-09-2020	IPR019734	Tetratricopeptide repeat	GO:0005515	
lcl|ORF11_c_000000013755:2516:1110	89a930c934f50579063048e7d66bbcd3	468	SUPERFAMILY	SSF48452	TPR-like	323	414	1.04E-6	T	30-09-2020	IPR011990	Tetratricopeptide-like helical domain superfamily	GO:0005515	
lcl|ORF3_c_000000008399:1751:2464	f0e876f441f3c5bde0e1917b8b45cc57	237	MobiDBLite	mobidb-lite	consensus disorder prediction	1	40	-	T	30-09-2020
lcl|ORF4_c_000000019642:478:2	6beb85f2090fcbc20cf497460bf9f16a	159	MobiDBLite	mobidb-lite	consensus disorder prediction	23	140	-	T	30-09-2020
lcl|ORF4_c_000000019642:478:2	6beb85f2090fcbc20cf497460bf9f16a	159	MobiDBLite	mobidb-lite	consensus disorder prediction	54	68	-	T	30-09-2020
lcl|ORF4_c_000000019642:478:2	6beb85f2090fcbc20cf497460bf9f16a	159	MobiDBLite	mobidb-lite	consensus disorder prediction	99	130	-	T	30-09-2020
lcl|ORF4_c_000000019642:478:2	6beb85f2090fcbc20cf497460bf9f16a	159	MobiDBLite	mobidb-lite	consensus disorder prediction	25	50	-	T	30-09-2020
lcl|ORF2_c_000000003493:11:1165	28981d83cdb29f022e7a6487a528f25d	384	Gene3D	G3DSA:1.25.40.10	-	4	129	2.6E-12	T	30-09-2020	IPR011990	Tetratricopeptide-like helical domain superfamily	GO:0005515	
lcl|ORF2_c_000000003493:11:1165	28981d83cdb29f022e7a6487a528f25d	384	ProSiteProfiles	PS50005	TPR repeat profile.	3	36	5.163	T	30-09-2020	IPR019734	Tetratricopeptide repeat	GO:0005515	
lcl|ORF2_c_000000003493:11:1165	28981d83cdb29f022e7a6487a528f25d	384	ProSiteProfiles	PS50293	TPR repeat region circular profile.	3	70	11.383	T	30-09-2020	IPR013026	Tetratricopeptide repeat-containing domain	GO:0005515	
lcl|ORF2_c_000000003493:11:1165	28981d83cdb29f022e7a6487a528f25d	384	Coils	Coil	Coil	144	164	-	T	30-09-2020
lcl|ORF2_c_000000003493:11:1165	28981d83cdb29f022e7a6487a528f25d	384	SUPERFAMILY	SSF48452	TPR-like	9	117	1.48E-13	T	30-09-2020	IPR011990	Tetratricopeptide-like helical domain superfamily	GO:0005515	
lcl|ORF2_c_000000003493:11:1165	28981d83cdb29f022e7a6487a528f25d	384	SMART	SM00028	tpr_5	37	70	0.012	T	30-09-2020	IPR019734	Tetratricopeptide repeat	GO:0005515	
